year,quarter,quarter_months,city1,city2,airport_1,airport_2,origin_airport_name,destination_airport_name,avg_fare_raw,avg_fare_adjusted,year_latest,quarter_latest,quarter_months_latest,fare_latest_raw,fare_latest_adjusted,date_oldest,year_oldest,quarter_oldest,fare_oldest_raw,fare_oldest_adjusted,p_change_avg_fare_oldest_newest_raw,p_change_avg_fare_oldest_newest_adjusted,date_updated
2020,1,January to March,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,PIE,Lehigh Valley International,St Pete Clearwater International,89.53536056,115.5,2024,2,April to June,97.64697739,103.51,2020-03-01,2020,1,89.53536056,115.5,9.1,-10.4,2026-09-01
2020,2,April to June,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,PIE,Lehigh Valley International,St Pete Clearwater International,83.27263844,107.42,2024,2,April to June,97.64697739,103.51,2020-03-01,2020,1,89.53536056,115.5,9.1,-10.4,2026-09-01
2021,2,April to June,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,PIE,Lehigh Valley International,St Pete Clearwater International,90.43937214,110.34,2024,2,April to June,97.64697739,103.51,2020-03-01,2020,1,89.53536056,115.5,9.1,-10.4,2026-09-01
2021,3,July to September,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,PIE,Lehigh Valley International,St Pete Clearwater International,81.42943305,98.53,2024,2,April to June,97.64697739,103.51,2020-03-01,2020,1,89.53536056,115.5,9.1,-10.4,2026-09-01
2022,2,April to June,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,PIE,Lehigh Valley International,St Pete Clearwater International,98.32646265,110.13,2024,2,April to June,97.64697739,103.51,2020-03-01,2020,1,89.53536056,115.5,9.1,-10.4,2026-09-01
2022,3,July to September,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,PIE,Lehigh Valley International,St Pete Clearwater International,90.13627007,100.95,2024,2,April to June,97.64697739,103.51,2020-03-01,2020,1,89.53536056,115.5,9.1,-10.4,2026-09-01
2022,4,October to December,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,PIE,Lehigh Valley International,St Pete Clearwater International,113.3344614,126.93,2024,2,April to June,97.64697739,103.51,2020-03-01,2020,1,89.53536056,115.5,9.1,-10.4,2026-09-01
2023,1,January to March,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,PIE,Lehigh Valley International,St Pete Clearwater International,123.677301,136.05,2024,2,April to June,97.64697739,103.51,2020-03-01,2020,1,89.53536056,115.5,9.1,-10.4,2026-09-01
2023,2,April to June,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,PIE,Lehigh Valley International,St Pete Clearwater International,117.9855802,128.6,2024,2,April to June,97.64697739,103.51,2020-03-01,2020,1,89.53536056,115.5,9.1,-10.4,2026-09-01
2023,3,July to September,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,PIE,Lehigh Valley International,St Pete Clearwater International,92.29800499,99.68,2024,2,April to June,97.64697739,103.51,2020-03-01,2020,1,89.53536056,115.5,9.1,-10.4,2026-09-01
2024,2,April to June,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,PIE,Lehigh Valley International,St Pete Clearwater International,97.64697739,103.51,2024,2,April to June,97.64697739,103.51,2020-03-01,2020,1,89.53536056,115.5,9.1,-10.4,2026-09-01
2020,1,January to March,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,TPA,Lehigh Valley International,Tampa International,240.2416216,309.91,2024,2,April to June,295.8565217,313.61,2020-03-01,2020,1,240.2416216,309.91,23.1,1.2,2026-09-01
2021,2,April to June,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,TPA,Lehigh Valley International,Tampa International,197.2855721,240.69,2024,2,April to June,295.8565217,313.61,2020-03-01,2020,1,240.2416216,309.91,23.1,1.2,2026-09-01
2021,3,July to September,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,TPA,Lehigh Valley International,Tampa International,208.9272727,252.8,2024,2,April to June,295.8565217,313.61,2020-03-01,2020,1,240.2416216,309.91,23.1,1.2,2026-09-01
2022,2,April to June,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,TPA,Lehigh Valley International,Tampa International,327.3150327,366.59,2024,2,April to June,295.8565217,313.61,2020-03-01,2020,1,240.2416216,309.91,23.1,1.2,2026-09-01
2022,3,July to September,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,TPA,Lehigh Valley International,Tampa International,304.1233645,340.62,2024,2,April to June,295.8565217,313.61,2020-03-01,2020,1,240.2416216,309.91,23.1,1.2,2026-09-01
