year,quarter,quarter_months,city1,city2,airport_1,airport_2,origin_airport_name,destination_airport_name,avg_fare_raw,avg_fare_adjusted,year_latest,quarter_latest,quarter_months_latest,fare_latest_raw,fare_latest_adjusted,date_oldest,year_oldest,quarter_oldest,fare_oldest_raw,fare_oldest_adjusted,p_change_avg_fare_oldest_newest_raw,p_change_avg_fare_oldest_newest_adjusted,date_updated
2022,4,October to December,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,TPA,Lehigh Valley International,Tampa International,353.7496454,396.2,2024,2,April to June,295.8565217,313.61,2020-03-01,2020,1,240.2416216,309.91,23.1,1.2,2026-09-01
2023,1,January to March,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,TPA,Lehigh Valley International,Tampa International,305.3158621,335.85,2024,2,April to June,295.8565217,313.61,2020-03-01,2020,1,240.2416216,309.91,23.1,1.2,2026-09-01
2023,2,April to June,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,TPA,Lehigh Valley International,Tampa International,312.4935484,340.62,2024,2,April to June,295.8565217,313.61,2020-03-01,2020,1,240.2416216,309.91,23.1,1.2,2026-09-01
2023,3,July to September,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,TPA,Lehigh Valley International,Tampa International,305.3292035,329.76,2024,2,April to June,295.8565217,313.61,2020-03-01,2020,1,240.2416216,309.91,23.1,1.2,2026-09-01
2024,2,April to June,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",ABE,TPA,Lehigh Valley International,Tampa International,295.8565217,313.61,2024,2,April to June,295.8565217,313.61,2020-03-01,2020,1,240.2416216,309.91,23.1,1.2,2026-09-01
2015,4,October to December,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,268.4,378.44,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2016,2,April to June,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,282.3034325,389.58,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2016,3,July to September,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,276.7732211,381.95,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2016,4,October to December,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,269.0674352,371.31,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2017,2,April to June,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,287.7407364,391.33,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2017,3,July to September,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,268.9647734,363.1,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2017,4,October to December,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,274.805632,370.99,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2018,2,April to June,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,263.2316109,347.47,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2018,3,July to September,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,256.7638052,338.93,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2018,4,October to December,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,276.6862792,365.23,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2019,2,April to June,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,318.0743619,413.5,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2019,3,July to September,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,301.5751425,392.05,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2019,4,October to December,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,318.1637076,410.43,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2021,3,July to September,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,324.9702491,393.21,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2022,3,July to September,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,368.9365089,413.21,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2023,3,July to September,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,367.1007353,396.47,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2025,3,July to September,"Albuquerque, NM","Boston, MA (Metropolitan Area)",ABQ,BOS,Albuquerque International Sunport,Logan International,282.9552425,288.61,2025,3,July to September,282.9552425,288.61,2015-12-01,2015,4,268.4,378.44,5.4,-23.7,2026-09-01
2015,4,October to December,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,223.25,314.78,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2016,1,January to March,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,230.6487421,322.91,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2016,2,April to June,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,236.7994169,326.78,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2016,3,July to September,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,251.4099196,346.95,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2016,4,October to December,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,212.2168831,292.86,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2017,1,January to March,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,216.9093677,297.17,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2017,2,April to June,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,203.6875415,277.02,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2017,3,July to September,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,188.8412226,254.94,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2017,4,October to December,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,186.4879699,251.76,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2018,1,January to March,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,181.4232967,241.29,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2018,2,April to June,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,194.518225,256.76,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2018,3,July to September,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,191.9520548,253.38,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2018,4,October to December,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,203.7297535,268.92,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2019,1,January to March,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,200.9588556,263.26,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2019,2,April to June,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,209.4891379,272.34,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2019,3,July to September,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,197.1378521,256.28,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2019,4,October to December,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,206.5077052,266.39,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2020,1,January to March,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,194.8063776,251.3,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2020,3,July to September,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,130.3414773,166.84,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2020,4,October to December,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,153.3258537,196.26,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2021,1,January to March,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,179.4956204,224.37,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2021,2,April to June,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,208.4198606,254.27,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2021,3,July to September,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,205.4547486,248.6,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2021,4,October to December,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,205.9495751,245.08,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2022,1,January to March,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,161.6209738,185.86,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2022,2,April to June,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,186.7997333,209.22,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2022,3,July to September,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,182.1202459,203.97,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2022,4,October to December,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,193.0897656,216.26,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2023,1,January to March,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,180.9075024,199,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2023,2,April to June,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,195.4379384,213.03,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2023,3,July to September,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,194.4552523,210.01,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2023,4,October to December,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,209.9003137,226.69,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2024,1,January to March,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,209.0089035,221.55,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2024,2,April to June,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,211.9246881,224.64,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2024,3,July to September,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,207.3426966,217.71,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2024,4,October to December,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,228.1527635,239.56,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2025,1,January to March,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,225.5209101,234.54,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2025,2,April to June,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,213.3355314,219.74,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2025,3,July to September,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,208.4124918,212.58,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2025,4,October to December,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",ABQ,BUR,Albuquerque International Sunport,Bob Hope,233.8737109,238.55,2025,4,October to December,233.8737109,238.55,2015-12-01,2015,4,223.25,314.78,4.8,-24.2,2026-09-01
2015,4,October to December,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,267.98,377.85,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2016,1,January to March,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,262.4854019,367.48,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2016,2,April to June,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,263.0072741,362.95,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2016,3,July to September,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,273.1880771,377,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2016,4,October to December,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,269.5681159,372,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2017,1,January to March,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,277.8701731,380.68,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2017,2,April to June,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,289.2536719,393.38,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2017,3,July to September,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,280.690219,378.93,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2017,4,October to December,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,295.1535072,398.46,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2018,1,January to March,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,273.1082911,363.23,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2018,2,April to June,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,282.936734,373.48,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2018,3,July to September,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,276.4190124,364.87,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2018,4,October to December,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,283.2779464,373.93,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2019,1,January to March,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,274.1268617,359.11,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2019,2,April to June,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,318.7540574,414.38,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2019,3,July to September,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,291.7914833,379.33,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2019,4,October to December,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,283.7221821,366,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2020,1,January to March,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,264.683009,341.44,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2020,2,April to June,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,171.8205534,221.65,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2020,3,July to September,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,183.4357532,234.8,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2020,4,October to December,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,197.3654102,252.63,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2021,1,January to March,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,189.635905,237.04,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
2021,2,April to June,"Albuquerque, NM","Washington, DC (Metropolitan Area)",ABQ,BWI,Albuquerque International Sunport,Baltimore/Washington International,275.7066345,336.36,2025,4,October to December,298.3673643,304.33,2015-12-01,2015,4,267.98,377.85,11.3,-19.5,2026-09-01
