AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL
1NY,Penn Yan Airport,"Penn Yan, NY",36557,"Penn Yan, NY"
1NY,Penn Yan Yates County,"Penn Yan, NY",36557,"Penn Yan, NY"
1OH,Lake County Executive,"Willoughby, OH",36893,"Willoughby, OH"
1PA,Joseph A Hardy Connellsville,"Connellsville, PA",36911,"Connellsville, PA"
1TN,Beech River Regional,"Lexington Parsons, TN",36812,"Lexington Parsons, TN"
1TX,Moore County,"Dumas, TX",36826,"Dumas, TX"
1VA,Warrenton Fauquier,"Warrenton, VA",36908,"Warrenton, VA"
1WA,Deer Park Airport,"Deer Park, WA",36870,"Deer Park, WA"
1WA,Deer Park Airport,"Deer Park, WA",36870,"Deer Park, WA"
2AK,Deer Park,"Deerpark, AK",36933,"Deerpark, AK"
2CA,Delano Municipal,"Delano, CA",36816,"Delano, CA"
2FL,North Palm Beach County Gen Aviation,"West Palm Beach, FL",36801,"West Palm Beach, FL"
2GA,Camilla Mitchell County,"Camilla, GA",36821,"Camilla, GA"
2NC,Asheboro Regional,"Asheboro, NC",36892,"Asheboro, NC"
2NJ,Southern Cross,"Williamstown, NJ",36955,"Williamstown, NJ"
2NY,Sands Point Seaplane Base,"Port Washington, NY",36802,"Port Washington, NY"
2OH,Richard Downing,"Coshocton, OH",36996,"Coshocton, OH"
2PA,Heliport 76er,"Philadelphia, PA",34100,"Philadelphia, PA"
2TN,Mark Anton,"Dayton, TN",36863,"Dayton, TN"
2TX,Brenham Municipal,"Brenham, TX",36862,"Brenham, TX"
2VA,Camp Peary Landing Strip,"Williamsburg, VA",33667,"Norfolk, VA (Metropolitan Area)"
2WA,Tacoma Seaplane Base,"Tacoma, WA",31979,"Tacoma, WA"
2WK,Odessa Municipal,"Odessa, WA",36934,"Odessa, WA"
3AK,Gold Mining Landing Strip,"Tintina, AK",36941,"Tintina, AK"
3CA,Garberville Airport,"Garberville, CA",36869,"Garberville, CA"
3FL,Wauchula Municipal,"Wauchula, FL",36958,"Wauchula, FL"
3GA,Early County,"Blakely, GA",36843,"Blakely, GA"
3NC,Hendersonville Airport,"Hendersonville, NC",36940,"Hendersonville, NC"
3NJ,76ers Camden Heliport,"Camden, NJ",36964,"Camden, NJ"
3NJ,Camden Airport,"Camden, NJ",36964,"Camden, NJ"
3NY,Sebonac,"Suffolk, NY",36803,"Suffolk, NY"
3PA,Conshohocken Heliport,"Conshohocken, PA",36968,"Conshohocken, PA"
3TN,Elizabethton Municipal,"Elizabethon, TN",36898,"Elizabethon, TN"
3TX,Lancaster Regional,"Lancaster, TX",36847,"Lancaster, TX"
3VA,Middle Peninsula Regional,"West Point, VA",36985,"West Point, VA"
4AK,Bradley Sky Ranch,"North Pole, AK",36943,"North Pole, AK"
4CA,University,"Davis, CA",36881,"Davis, CA"
4CL,El Mirage Field Adelanto,"El Mirage, CA",36875,"El Mirage, CA"
4CL,El Mirage Field Adelanto,"El Mirage, CA",36875,"El Mirage, CA"
4FL,Quincy Municipal,"Quincy, FL",36975,"Quincy, FL"
4GA,Paulding Memorial Hospital Heliport,"Atlanta, GA",30397,"Atlanta, GA (Metropolitan Area)"
4NC,Western Carolina Regional,"Andrews, NC",36977,"Andrews, NC"
4NJ,Pomona Airport,"Pomona, NJ",36965,"Pomona, NJ"
4NY,Johnson Landing Strip,"Millbrook, NY",36443,"Millbrook, NY"
4PA,Total Rf Heliport,"Bensalem, PA",36969,"Bensalem, PA"
4PN,Merritt Field,"Eagles Mere, PA",37050,"Eagles Mere, PA"
4TX,Lajitas International,"Lajitas, TX",36865,"Lajitas, TX"
5AK,Lawing Airport,"Lawing, AK",36944,"Lawing, AK"
5CA,Gray Butte Field,"Palmdale, CA",34162,"Palmdale/Lancaster, CA"
5CA,Gray Butte Field,"Palmdale, CA",34162,"Palmdale/Lancaster, CA"
5FL,St George Island,"Apalachicola, FL",30122,"Apalachicola, FL"
5GA,Tom B David Field,"Calhoun, GA",36949,"Calhoun, GA"
5NJ,Prudential Center Heliport,"Newark, NJ",31703,"New York City, NY (Metropolitan Area)"
5NY,Malone Dufort,"Malone, NY",36885,"Malone, NY"
5PA,Allentown Queen City Municipal,"Allentown, PA",36986,"Allentown, PA"
5TX,South Texas International at Edinburg,"Edinburg, TX",36871,"Edinburg, TX"
6AK,Newtok Seaplane Base,"Newtok, AK",35887,"Newtok, AK"
6B0,Middlebury State,"Middlebury, VT",36431,"Middlebury, VT"
6B0,Middlebury State,"Middlebury, VT",36431,"Middlebury, VT"
6B0,Middlebury State,"Middlebury, VT",36431,"Middlebury, VT"
6B0,Middlebury State,"Middlebury, VT",36431,"Middlebury, VT"
6B0,Middlebury State,"Middlebury, VT",36431,"Middlebury, VT"
6CA,Little River Airport,"Little River, CA",36974,"Little River, CA"
6FL,Arcadia Municipal,"Arcadia, FL",36995,"Arcadia, FL"
6GA,Habersham County,"Cornelia, GA",36954,"Cornelia, GA"
6NJ,Ocean Casino Resort,"Atlantic City, NJ",30158,"Atlantic City, NJ"
6NY,Sag Harbor,"New York, NY",31703,"New York City, NY (Metropolitan Area)"
6PA,Franklin County Regional,"Chambersburg, PA",36987,"Chambersburg, PA"
6TX,Real County,"Leakey, TX",36877,"Leakey, TX"
7AK,Akun Airport,"Akun, AK",36553,"Akun, AK"
7CA,Lincoln Regional Karl Harder Field,"Lincoln, CA",36993,"Lincoln, CA"
7FL,Wellington Aero Club,"West Palm Beach, FL",36801,"West Palm Beach, FL"
7NJ,Meadowlands 2 Nj Complex Heliport,"East Rutherford, NJ",36966,"East Rutherford, NJ"
7NY,Shelter Island,"New York, NY",31703,"New York City, NY (Metropolitan Area)"
7TX,Possum Kingdom,"Graford, TX",36880,"Graford, TX"
8AK,Willow Conocophillips,"Nuiqsut, AK",33767,"Nuiqsut, AK"
8F3,Crosbyton Municipal,"Crosbyton, TX",30013,"Crosbyton, TX"
8FL,Keystone Heights Airport,"Keystone Heights, FL",37004,"Keystone Heights, FL"
8FL,Keystone Heights Airport,"Keystone Heights, FL",37004,"Keystone Heights, FL"
8NJ,Helo Kearny Heliport,"Kearny, NJ",36980,"Kearny, NJ"
8NY,Noyack ,"New York, NY",31703,"New York City, NY (Metropolitan Area)"
8TX,McGregor Exec,"Waco, TX",30155,"Waco, TX"
8TX,McGregor Executive,"Waco, TX",30155,"Waco, TX"
9AK,Wolf Lake,"Palmer, AK",34013,"Palmer, AK"
9NY,Sbnysh,"Shelter Island, NY",36917,"Shelter Island, NY"
9TX,Center Municipal,"Center, TX",36900,"Center, TX"
A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",31517,"Fairbanks, AK"
A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",31517,"Fairbanks, AK"
A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",31517,"Fairbanks, AK"
A02,Deadmans Bay Airport,"Deadmans Bay, AK",30015,"Deadmans Bay, AK"
A03,Hallo Bay Airport,"Hallo Bay, AK",30016,"Hallo Bay, AK"
A04,Red Lake Airport,"Red Lake, AK",30017,"Red Lake, AK"
A05,Shell Lake Airport,"Shell Lake, AK",30018,"Shell Lake, AK"
A06,Navigator Airstrip,"Kougarok, AK",30019,"Kougarok, AK"
A07,Roland Norton Memorial,"Selawik, AK",30020,"Selawik, AK"
A07,Roland Norton Memorial Airstrip,"Selawik, AK",30020,"Selawik, AK"
A08,Pillar Bay Airport,"Pillar Bay, AK",30021,"Pillar Bay, AK"
A09,Johnstone Point Airport,"Johnstone Point, AK",30022,"Johnstone Point, AK"
A09,Johnstone Point Airport,"Johnstone Point, AK",30022,"Johnstone Point, AK"
A09,Johnstone Point Airport,"Johnstone Point, AK",30022,"Johnstone Point, AK"
A09,Johnstone Point Airport,"Johnstone Point, AK",30022,"Johnstone Point, AK"
A11,Bell Creek Airport,"Bell Creek, AK",30024,"Bell Creek, AK"
A12,Cinnabar Airport,"Cinnabar, AK",30025,"Cinnabar, AK"
A13,Mountaintop Mine Airport,"Mountaintop Mine, AK",30026,"Mountaintop Mine, AK"
A14,Whitebear Airport,"Whitebear, AK",30027,"Whitebear, AK"
A15,Puviaq Airport,"Puviaq, AK",30028,"Puviaq, AK"
A15,Puviaq Airport,"Puviaq, AK",30028,"Puviaq, AK"
A16,Arley Lake Airport,"Arley Lake, AK",30029,"Arley Lake, AK"
A17,Port Vita Airport,"Port Vita, AK",30030,"Port Vita, AK"
A18,Kantishna Airport,"Kantishna, AK",30031,"Kantishna, AK"
A18,Kantishna Airport,"Kantishna, AK",30031,"Kantishna, AK"
A18,Kantishna Airport,"Kantishna, AK",30031,"Kantishna, AK"
A18,Kantishna Airport,"Kantishna, AK",30031,"Kantishna, AK"
A1K,Point Thomson Airstrip,"Deadhorse1, AK",36651,"Deadhorse1, AK"
A1K,Point Thomson Airstrip,"Deadhorse1, AK",36651,"Deadhorse1, AK"
A1L,Cullman Regional Folsom Field,"Cullman, AL",36783,"Cullman, AL"
A20,Alpine Airstrip,"Alpine, AK",30033,"Alpine, AK"
A21,Serpentine Airport,"Serpentine, AK",30034,"Serpentine, AK"
A22,Driftwood Bay Airport,"Driftwood Bay, AK",30035,"Driftwood Bay, AK"
A23,Bradley Lake Airport,"Bradley Lake, AK",30036,"Bradley Lake, AK"
A24,Chilkat Lake Airport,"Chilkat Lake, AK",30037,"Chilkat Lake, AK"
A25,Nugget Creek Airport,"Nugget Creek, AK",30038,"Nugget Creek, AK"
A26,Ivotuk Airstrip,"Ivotuk, AK",30039,"Ivotuk, AK"
A27,Pogo Mines Airport,"Pogo Mines, AK",30040,"Pogo Mines, AK"
A28,Ayakulik River Airport,"Ayakulik River, AK",30041,"Ayakulik River, AK"
A29,Kiluda Bay Airport,"Kiluda Bay, AK",30042,"Kiluda Bay, AK"
A2K,Bartletts Airport,"Bartletts, AK",30770,"Bartletts, AK"
A2L,Isbell Field,"Fort Payne, AL",36782,"Fort Payne, AL"
A30,Terror Lake Airport,"Terror Lake, AK",30043,"Terror Lake, AK"
A31,Selief Bay Airport,"Selief Bay, AK",30044,"Selief Bay, AK"
A34,Laura Lake Airport,"Laura Lake, AK",30047,"Laura Lake, AK"
A35,Bullen Point AFS,"Kaktovik, AK",31828,"Kaktovik, AK"
A35,Bullen Point AFS,"Kaktovik, AK",31828,"Kaktovik, AK"
A36,Deep Bay Airport,"Deep Bay, AK",30049,"Deep Bay, AK"
A37,Kako Airport,"Kako, AK",30050,"Kako, AK"
A37,Kako Airport,"Kako, AK",30050,"Kako, AK"
A38,Molly Creek Airport,"Molly Creek, AK",30051,"Molly Creek, AK"
A39,Ptarmigan Lake Airport,"Ptarmigan Lake, AK",30052,"Ptarmigan Lake, AK"
A3K,Smith Bay Airport,"Smith Bay, AK",36677,"Smith Bay, AK"
A40,Cape Simpson Airport,"Cape Simpson, AK",30053,"Cape Simpson, AK"
A41,Kogru River Airport,"Kogru River, AK",30054,"Kogru River, AK"
A41,Kogru River Airport,"Kogru River, AK",30054,"Kogru River, AK"
A42,Teshepkuk Lake Airport,"Teshepkuk Lake, AK",30055,"Teshepkuk Lake, AK"
A43,Trident Basin Seaplane Base,"Kodiak Island, AK",30056,"Kodiak Island, AK"
A45,Lake Florence Airport,"Lake Florence, AK",30058,"Lake Florence, AK"
A46,Lake Hasselborg Airport,"Lake Hasselborg, AK",30059,"Lake Hasselborg, AK"
A47,Distin Lake Airport,"Distin Lake, AK",30060,"Distin Lake, AK"
A48,Port Hobron Airport,"Port Hobron, AK",30061,"Port Hobron, AK"
A49,Mooseville Airstrip Airport,"Mooseville Airstrip, AK",30062,"Mooseville Airstrip, AK"
A4K,Dune Lake Airport,"Dune Lake, AK",36679,"Dune Lake, AK"
A50,Big Bay Airport,"Big Bay, AK",30063,"Big Bay, AK"
A51,Wien Lake Airport,"Wien Lake, AK",30064,"Wien Lake, AK"
A52,Silver Salmon Creek Airport,"Silver Salmon Creek, AK",30065,"Silver Salmon Creek, AK"
A53,Blear Lake Airport,"Blear Lake, AK",30066,"Blear Lake, AK"
A54,Cannery Bay Airport,"Cannery Bay, AK",30067,"Cannery Bay, AK"
A56,Johnsons Landing,"Bear Lake, AK",30069,"Bear Lake, AK"
A57,International Seafoods Airport,"International Seafoods, AK",36440,"International Seafoods, AK"
