AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL
BHK,Bukhara Airport,"Bukhara, U.S.S.R.",30597,"Bukhara, U.S.S.R."
BHK,Bukhara Airport,"Bukhara, Uzbekistan",30597,"Bukhara, Uzbekistan"
BHK,Bukhara Airport,"Bukhara, Uzbekistan",30597,"Bukhara, Uzbekistan"
BHK,Bukhara International,"Bukhara, Uzbekistan",30597,"Bukhara, Uzbekistan"
BHL,Bahia de Los Angeles North,"Bahia de Los Angeles, Mexico",30598,"Bahia de Los Angeles, Mexico"
BHL,Bahia de Los Angeles North,"Bahia de Los Angeles, Mexico",30598,"Bahia de Los Angeles, Mexico"
BHL,Bahia de Los Angeles North,"Bahia de Los Angeles, Mexico",30598,"Bahia de Los Angeles, Mexico"
BHL,Bahia de Los Angeles North,"Bahia de Los Angeles, Mexico",30598,"Bahia de Los Angeles, Mexico"
BHM,Birmingham Airport,"Birmingham, AL",30599,"Birmingham, AL"
BHM,Birmingham International,"Birmingham, AL",30599,"Birmingham, AL"
BHM,Birmingham-Shuttlesworth International,"Birmingham, AL",30599,"Birmingham, AL"
BHM,Birmingham-Shuttlesworth International,"Birmingham, AL",30599,"Birmingham, AL"
BHN,Beihan Airport,"Beihan, South Yemen",30600,"Beihan, South Yemen"
BHN,Beihan Airport,"Beihan, Yemen",30600,"Beihan, Yemen"
BHN,Beihan Airport,"Beihan, Yemen",30600,"Beihan, Yemen"
BHN,Beihan Airport,"Beihan, Yemen",30600,"Beihan, Yemen"
BHN,Beihan Airport,"Beihan, Yemen",30600,"Beihan, Yemen"
BHN,Beihan Airport,"Beihan, Yemen",30600,"Beihan, Yemen"
BHN,Beihan Airport,"Beihan, Yemen",30600,"Beihan, Yemen"
BHO,Bhopal Airport,"Bhopal, India",30601,"Bhopal, India"
BHO,Raja Bhoj,"Bhopal, India",30601,"Bhopal, India"
BHQ,Broken Hill Airport,"Broken Hill, Australia",30602,"Broken Hill, Australia"
BHQ,Broken Hill Airport,"Broken Hill, Australia",30602,"Broken Hill, Australia"
BHQ,Broken Hill Airport,"Broken Hill, Australia",30602,"Broken Hill, Australia"
BHR,Bharatpur Airport,"Bharatpur, Nepal",30603,"Bharatpur, Nepal"
BHR,Bharatpur Airport,"Bharatpur, Nepal",30603,"Bharatpur, Nepal"
BHR,Bharatpur Airport,"Bharatpur, Nepal",30603,"Bharatpur, Nepal"
BHR,Bharatpur Airport,"Bharatpur, Nepal",30603,"Bharatpur, Nepal"
BHR,Bharatpur Airport,"Bharatpur, Nepal",30603,"Bharatpur, Nepal"
BHS,Bathurst Airport,"Bathurst, Australia",30604,"Bathurst, Australia"
BHS,Bathurst Airport,"Bathurst, Australia",30604,"Bathurst, Australia"
BHS,Bathurst Airport,"Bathurst, Australia",30604,"Bathurst, Australia"
BHT,Brighton Downs Airport,"Brighton Downs, Australia",30605,"Brighton Downs, Australia"
BHU,Bhavnagar Airport,"Bhavnagar, India",30606,"Bhavnagar, India"
BHU,Bhavnagar Airport,"Bhavnagar, India",30606,"Bhavnagar, India"
BHV,Bahawalpur International,"Bahawalpur, Pakistan",30607,"Bahawalpur, Pakistan"
BHV,Bahawalpur International,"Bahawalpur, Pakistan",30607,"Bahawalpur, Pakistan"
BHV,Bahawalpur International,"Bahawalpur, Pakistan",30607,"Bahawalpur, Pakistan"
BHV,Bahawalpur International,"Bahawalpur, Pakistan",30607,"Bahawalpur, Pakistan"
BHV,Bahawalpur International,"Bahawalpur, Pakistan",30607,"Bahawalpur, Pakistan"
BHV,Bahawalpur International,"Bahawalpur, Pakistan",30607,"Bahawalpur, Pakistan"
BHX,Birmingham Airport,"Birmingham, United Kingdom",30608,"Birmingham, United Kingdom"
BHX,Birmingham Airport,"Birmingham, United Kingdom",30608,"Birmingham, United Kingdom"
BHX,Birmingham Airport,"Birmingham, United Kingdom",30608,"Birmingham, United Kingdom"
BHX,Birmingham Airport,"Birmingham, United Kingdom",30608,"Birmingham, United Kingdom"
BHX,Birmingham Airport,"Birmingham, United Kingdom",30608,"Birmingham, United Kingdom"
BHY,Beihai Airport,"Beihai, China",30609,"Beihai, China"
BHZ,Belo Horizonte Metropolitan Area,"Belo Horizonte, Brazil",30610,"Belo Horizonte, Brazil"
BIA,Bastia Poretta,"Bastia, France",30611,"Bastia, France"
BIA,Bastia Poretta,"Bastia, France",30611,"Bastia, France"
BIA,Bastia/Poretta,"Bastia, France",30611,"Bastia, France"
BIA,Poretta,"Bastia, France",30611,"Bastia, France"
BIA,Poretta,"Bastia, France",30611,"Bastia, France"
BIA,Poretta,"Bastia, France",30611,"Bastia, France"
BIC,Big Creek Airport,"Big Creek, AK",30612,"Big Creek, AK"
BID,Block Island State,"Block Island, RI",30613,"Block Island, RI"
BID,Block Island State,"Block Island, RI",30613,"Block Island, RI"
BIE,Beatrice Municipal,"Beatrice, NE",30614,"Beatrice, NE"
BIE,Beatrice Municipal,"Beatrice, NE",30614,"Beatrice, NE"
BIF,Biggs AAF,"El Paso, TX",30615,"El Paso, TX"
BIF,Biggs AAF,"El Paso, TX",30615,"El Paso, TX"
BIG,Allen AAF,"Big Delta, AK",30616,"Big Delta, AK"
BIG,Allen AAF,"Big Delta, AK",30616,"Big Delta, AK"
BIG,Allen AAF,"Big Delta, AK",30616,"Big Delta, AK"
BIH,Bishop Airport,"Bishop, CA",30617,"Bishop, CA"
BIH,Bishop Airport,"Bishop, CA",30617,"Bishop, CA"
BIH,Eastern Sierra Regional,"Bishop, CA",30617,"Bishop, CA"
BIH,Eastern Sierra Regional,"Bishop, CA",30617,"Bishop, CA"
BIH,Eastern Sierra Regional,"Bishop, CA",30617,"Bishop, CA"
BII,Bikini Atoll Airport,"Bikini Atoll, Marshall Islands",30618,"Bikini Atoll, Marshall Islands"
BIK,Manuhua,"Biak, Indonesia",30619,"Biak, Indonesia"
BIL,Billings Logan International,"Billings, MT",30620,"Billings, MT"
BIL,Billings Logan International,"Billings, MT",30620,"Billings, MT"
BIL,Billings Logan International,"Billings, MT",30620,"Billings, MT"
BIM,Bimini International,"Bimini, The Bahamas",30621,"Bimini, The Bahamas"
BIN,Bamyan Airport,"Bamyan, Afghanistan",30622,"Bamyan, Afghanistan"
BIN,Bamyan Airport,"Bamyan, Afghanistan",30622,"Bamyan, Afghanistan"
BIN,Bamyan Airport,"Bamyan, Afghanistan",30622,"Bamyan, Afghanistan"
BIO,Bilbao Airport,"Bilbao, Spain",30623,"Bilbao, Spain"
BIO,Bilbao Airport,"Bilbao, Spain",30623,"Bilbao, Spain"
BIO,Bilbao Airport,"Bilbao, Spain",30623,"Bilbao, Spain"
BIP,Bulimba Airport,"Bulimba, Australia",30624,"Bulimba, Australia"
BIQ,Anglet,"Biarritz, France",30625,"Biarritz, France"
BIQ,Anglet,"Biarritz, France",30625,"Biarritz, France"
BIQ,Anglet,"Biarritz, France",30625,"Biarritz, France"
BIQ,Biarritz Bayonne Anglet,"Biarritz, France",30625,"Biarritz, France"
BIQ,Biarritz Pays Basque,"Biarritz, France",30625,"Biarritz, France"
BIQ,Biarritz Pays Basque,"Biarritz, France",30625,"Biarritz, France"
BIR,Biratnagar Airport,"Biratnagar, Nepal",30626,"Biratnagar, Nepal"
BIR,Biratnagar Airport,"Biratnagar, Nepal",30626,"Biratnagar, Nepal"
BIR,Biratnagar Airport,"Biratnagar, Nepal",30626,"Biratnagar, Nepal"
BIR,Biratnagar Airport,"Biratnagar, Nepal",30626,"Biratnagar, Nepal"
BIR,Biratnagar Airport,"Biratnagar, Nepal",30626,"Biratnagar, Nepal"
BIS,Bismarck Municipal,"Bismarck/Mandan, ND",30627,"Bismarck/Mandan, ND"
BIS,Bismarck Municipal,"Bismarck/Mandan, ND",30627,"Bismarck/Mandan, ND"
BIS,Bismarck Municipal,"Bismarck/Mandan, ND",30627,"Bismarck/Mandan, ND"
BIV,Bria Airport,"Bria, Central African Republic",30628,"Bria, Central African Republic"
BIV,Bria Airport,"Bria, Central African Republic",30628,"Bria, Central African Republic"
BIX,Keesler AFB,"Biloxi, MS",30629,"Biloxi, MS"
BIX,Keesler AFB,"Biloxi, MS",30629,"Biloxi, MS"
BJC,Rocky Mountain Metro,"Broomfield, CO",30630,"Broomfield, CO"
BJC,Rocky Mountain Metro,"Broomfield, CO",30630,"Broomfield, CO"
BJC,Rocky Mountain Metro,"Broomfield, CO",30630,"Broomfield, CO"
BJC,Rocky Mountain Metropolitan,"Broomfield, CO",30630,"Broomfield, CO"
BJC,Rocky Mountain Metropolitan,"Broomfield, CO",30630,"Broomfield, CO"
BJI,Bemidji Municipal,"Bemidji, MN",30631,"Bemidji, MN"
BJI,Bemidji Regional,"Bemidji, MN",30631,"Bemidji, MN"
BJI,Bemidji Regional,"Bemidji, MN",30631,"Bemidji, MN"
BJI,Bemidji/Beltrami County,"Bemidji, MN",30631,"Bemidji, MN"
BJJ,Wayne County,"Wooster, OH",30632,"Wooster, OH"
BJJ,Wayne County,"Wooster, OH",30632,"Wooster, OH"
BJJ,Wayne County,"Wooster, OH",30632,"Wooster, OH"
BJL,Banjul International,"Banjul, The Gambia",30633,"Banjul, The Gambia"
BJL,Banjul International,"Banjul, The Gambia",30633,"Banjul, The Gambia"
BJM,Bujumbura International,"Bujumbura, Burundi",30634,"Bujumbura, Burundi"
BJM,Bujumbura International,"Bujumbura, Burundi",30634,"Bujumbura, Burundi"
BJR,Bahir Dar Airport,"Bahir Dar, Ethiopia",30635,"Bahir Dar, Ethiopia"
BJR,Bahir Dar Airport,"Bahir Dar, Ethiopia",30635,"Bahir Dar, Ethiopia"
BJR,Bahir Dar Airport,"Bahir Dar, Ethiopia",30635,"Bahir Dar, Ethiopia"
BJR,Bahir Dar Ginbot Haya International,"Bahir Dar, Ethiopia",30635,"Bahir Dar, Ethiopia"
BJR,Bahir Dar Ginbot Haya International,"Bahir Dar, Ethiopia",30635,"Bahir Dar, Ethiopia"
BJR,Bahir Dar Ginbot Haya International,"Bahir Dar, Ethiopia",30635,"Bahir Dar, Ethiopia"
BJU,Bajura Airport,"Bajura, Nepal",30636,"Bajura, Nepal"
BJU,Bajura Airport,"Bajura, Nepal",30636,"Bajura, Nepal"
BJU,Bajura Airport,"Bajura, Nepal",30636,"Bajura, Nepal"
BJU,Bajura Airport,"Bajura, Nepal",30636,"Bajura, Nepal"
BJU,Bajura Airport,"Bajura, Nepal",30636,"Bajura, Nepal"
BJU,Bajura Airport,"Bajura, Nepal",30636,"Bajura, Nepal"
BJU,Bajura Airport,"Bajura, Nepal",30636,"Bajura, Nepal"
BJV,Imsik,"Bodrum, Turkey",30637,"Bodrum, Turkey"
BJV,Imsik,"Bodrum, Turkey",30637,"Bodrum, Turkey"
BJX,Guanajuato International,"Leon/Guanajuato, Mexico",30638,"Leon/Guanajuato, Mexico"
BJX,Guanajuato International,"Leon/Guanajuato, Mexico",30638,"Leon/Guanajuato, Mexico"
BJX,Leon International,"Leon/Guanajuato, Mexico",30638,"Leon/Guanajuato, Mexico"
BJZ,Badajoz Airport,"Badajoz, Spain",30639,"Badajoz, Spain"
BJZ,Badajoz Airport,"Badajoz, Spain",30639,"Badajoz, Spain"
BJZ,Badajoz Airport,"Badajoz, Spain",30639,"Badajoz, Spain"
BJZ,Talavera La Real,"Badajoz, Spain",30639,"Badajoz, Spain"
BJZ,Talavera La Real,"Badajoz, Spain",30639,"Badajoz, Spain"
BJZ,Talavera La Real,"Badajoz, Spain",30639,"Badajoz, Spain"
BKC,Buckland Airport,"Buckland, AK",30640,"Buckland, AK"
BKC,Buckland Airport,"Buckland, AK",30640,"Buckland, AK"
BKE,Baker City Municipal,"Baker, OR",30641,"Baker, OR"
BKE,Baker City Municipal,"Baker, OR",30641,"Baker, OR"
BKF,Brooks Lake Airport,"Brooks Lake, AK",30642,"Brooks Lake, AK"
BKG,Branson Airport,"Branson, MO",30643,"Branson, MO"
BKH,Barking Sands PMRF,"Kekaha, Kauai, HI",30644,"Kekaha, Kauai, HI"
BKH,Barking Sands Pacific Missile Range Facility,"Kekaha, Kauai, HI",30644,"Kekaha, Kauai, HI"
BKI,Kota Kinabalu International,"Kota Kinabalu, Malaysia",30645,"Kota Kinabalu, Malaysia"
BKI,Kota Kinabalu International,"Kota Kinabalu, Malaysia",30645,"Kota Kinabalu, Malaysia"
BKI,Kota Kinabalu International,"Kota Kinabalu, Malaysia",30645,"Kota Kinabalu, Malaysia"
BKI,Kota Kinabalu International,"Kota Kinabalu, Malaysia",30645,"Kota Kinabalu, Malaysia"
BKI,Kota Kinabalu International,"Kota Kinabalu, Malaysia",30645,"Kota Kinabalu, Malaysia"
BKK,Bangkok International,"Bangkok, Thailand",30646,"Bangkok, Thailand"
BKK,Suvarnabhumi International,"Bangkok, Thailand",30646,"Bangkok, Thailand"
BKK,Suvarnabhumi International,"Bangkok, Thailand",30646,"Bangkok, Thailand"
BKK,Suvarnabhumi International,"Bangkok, Thailand",30646,"Bangkok, Thailand"
BKL,Burke Lakefront,"Cleveland, OH",30647,"Cleveland, OH (Metropolitan Area)"
BKL,Burke Lakefront,"Cleveland, OH",30647,"Cleveland, OH (Metropolitan Area)"
BKL,Burke Lakefront,"Cleveland, OH",30647,"Cleveland, OH (Metropolitan Area)"
BKL,Burke Lakefront,"Cleveland, OH",30647,"Cleveland, OH (Metropolitan Area)"
BKL,Lakefront,"Cleveland, OH",30647,"Cleveland, OH (Metropolitan Area)"
BKM,Bakelalan Airport,"Bakelalan, Malaysia",30648,"Bakelalan, Malaysia"
BKM,Bakelalan Airport,"Bakelalan, Malaysia",30648,"Bakelalan, Malaysia"
BKM,Bakelalan Airport,"Bakelalan, Malaysia",30648,"Bakelalan, Malaysia"
BKM,Bakelalan Airport,"Bakelalan, Malaysia",30648,"Bakelalan, Malaysia"
BKM,Bakelalan Airport,"Bakelalan, Malaysia",30648,"Bakelalan, Malaysia"
BKO,Modibo Keita,"Bamako, Mali",30650,"Bamako, Mali"
BKO,Modibo Keita,"Bamako, Mali",30650,"Bamako, Mali"
BKO,President Modibo Keita,"Bamako, Mali",30650,"Bamako, Mali"
BKO,Senou,"Bamako, Mali",30650,"Bamako, Mali"
BKO,Senou,"Bamako, Mali",30650,"Bamako, Mali"
BKO,Senou,"Bamako, Mali",30650,"Bamako, Mali"
BKO,Senou,"Bamako, Mali",30650,"Bamako, Mali"
BKO,Senou,"Bamako, Mali",30650,"Bamako, Mali"
BKQ,Blackall Airport,"Blackall, Australia",30651,"Blackall, Australia"
BKQ,Blackall Airport,"Blackall, Australia",30651,"Blackall, Australia"
BKQ,Blackall Airport,"Blackall, Australia",30651,"Blackall, Australia"
BKS,Fatmawati Soekarno,"Bengkulu, Indonesia",30652,"Bengkulu, Indonesia"
BKS,Fatmawati Soekarno,"Bengkulu, Indonesia",30652,"Bengkulu, Indonesia"
BKS,Fatmawati Soekarno,"Bengkulu, Indonesia",30652,"Bengkulu, Indonesia"
BKS,Fatmawati Soekarno,"Bengkulu, Indonesia",30652,"Bengkulu, Indonesia"
BKS,Fatmawati Soekarno,"Bengkulu, Indonesia",30652,"Bengkulu, Indonesia"
BKS,Padangkemiling,"Bengkulu, Indonesia",30652,"Bengkulu, Indonesia"
BKT,Allan C Perkinson Blackstone AAF,"Blackstone, VA",36937,"Blackstone, VA"
BKT,Allen C Perkinson Blackstone AAF,"Blackstone, VA",36937,"Blackstone, VA"
BKU,Betioky Airport,"Betioky, Madagascar",30653,"Betioky, Madagascar"
BKU,Betioky Airport,"Betioky, Madagascar",30653,"Betioky, Madagascar"
BKU,Betioky Airport,"Betioky, Madagascar",30653,"Betioky, Madagascar"
BKU,Betioky Airport,"Betioky, Madagascar",30653,"Betioky, Madagascar"
BKU,Betioky Airport,"Betioky, Madagascar",30653,"Betioky, Madagascar"
BKU,Betioky Airport,"Betioky, Madagascar",30653,"Betioky, Madagascar"
BKW,Raleigh County Memorial,"Beckley, WV",30654,"Beckley, WV"
BKW,Raleigh County Memorial,"Beckley, WV",30654,"Beckley, WV"
BKX,Brookings Regional,"Brookings, SD",30655,"Brookings, SD"
BKX,Brookings Regional,"Brookings, SD",30655,"Brookings, SD"
BKX,Brookings Regional,"Brookings, SD",30655,"Brookings, SD"
BKX,Brookings Regional,"Brookings, SD",30655,"Brookings, SD"
BKX,Brookings Regional,"Brookings, SD",30655,"Brookings, SD"
BKY,Bukavu Kavumu,"Bukavu, Congo (Kinshasa)",30656,"Bukavu, Congo (Kinshasa)"
BKZ,Bukoba Airport,"Bukoba, Tanzania",30657,"Bukoba, Tanzania"
BKZ,Bukoba Airport,"Bukoba, Tanzania",30657,"Bukoba, Tanzania"
BKZ,Bukoba Airport,"Bukoba, Tanzania",30657,"Bukoba, Tanzania"
BKZ,Bukoba Airport,"Bukoba, Tanzania",30657,"Bukoba, Tanzania"
BKZ,Bukoba Airport,"Bukoba, Tanzania",30657,"Bukoba, Tanzania"
BLA,Campo Nuevo,"Barcelona, Venezuela",30658,"Barcelona, Venezuela"
BLA,Gd Jose Antonio Anzoategui International,"Barcelona, Venezuela",30658,"Barcelona, Venezuela"
BLA,General Jose Antonio Anzoategui International,"Barcelona, Venezuela",30658,"Barcelona, Venezuela"
BLA,General Jose Antonio Anzoategui International,"Barcelona, Venezuela",30658,"Barcelona, Venezuela"
BLA,General Jose Antonio Anzoategui International,"Barcelona, Venezuela",30658,"Barcelona, Venezuela"
BLA,General Jose Antonio Anzoategui International,"Barcelona, Venezuela",30658,"Barcelona, Venezuela"
BLB,Albrook AFB,"Balboa, Panama",30659,"Balboa, Panama"
BLC,Bali Airport,"Bali, Cameroon",30660,"Bali, Cameroon"
BLD,Boulder City Municipal,"Boulder City, NV",30661,"Boulder City, NV"
BLD,Boulder City Municipal,"Boulder City, NV",30661,"Boulder City, NV"
BLD,Boulder City Municipal,"Boulder City, NV",30661,"Boulder City, NV"
BLD,Boulder City Municipal,"Boulder City, NV",30661,"Boulder City, NV"
BLD,Boulder City Municipal,"Boulder City, NV",30661,"Boulder City, NV"
BLD,Boulder City Municipal,"Boulder City, NV",30661,"Boulder City, NV"
BLE,Borlange Airport,"Borlange, Sweden",30662,"Borlange, Sweden"
BLE,Borlange Airport,"Borlange, Sweden",30662,"Borlange, Sweden"
BLE,Borlange Airport,"Borlange, Sweden",30662,"Borlange, Sweden"
BLF,Mercer County,"Princeton/Bluefield, WV",30663,"Princeton/Bluefield, WV"
BLF,Mercer County,"Princeton/Bluefield, WV",30663,"Princeton/Bluefield, WV"
BLF,Mercer County,"Princeton/Bluefield, WV",30663,"Princeton/Bluefield, WV"
BLG,Belaga Airport,"Belaga, Malaysia",30664,"Belaga, Malaysia"
BLG,Belaga Airport,"Belaga, Malaysia",30664,"Belaga, Malaysia"
BLH,Blythe Airport,"Blythe, CA",30665,"Blythe, CA"
BLH,Blythe Airport,"Blythe, CA",30665,"Blythe, CA"
BLH,Blythe Airport,"Blythe, CA",30665,"Blythe, CA"
BLI,Bellingham International,"Bellingham, WA",30666,"Bellingham, WA"
BLI,Bellingham International,"Bellingham, WA",30666,"Bellingham, WA"
BLJ,Mostepha Ben Boulaid,"Batna, Algeria",30667,"Batna, Algeria"
BLK,Blackpool Airport,"Blackpool, United Kingdom",30668,"Blackpool, United Kingdom"
BLK,Blackpool Airport,"Blackpool, United Kingdom",30668,"Blackpool, United Kingdom"
BLK,Blackpool Airport,"Blackpool, United Kingdom",30668,"Blackpool, United Kingdom"
BLK,Blackpool Airport,"Blackpool, United Kingdom",30668,"Blackpool, United Kingdom"
BLK,Blackpool Airport,"Blackpool, United Kingdom",30668,"Blackpool, United Kingdom"
BLK,Blackpool Airport,"Blackpool, United Kingdom",30668,"Blackpool, United Kingdom"
BLL,Billund Airport,"Billund, Denmark",30669,"Billund, Denmark"
BLL,Billund Airport,"Billund, Denmark",30669,"Billund, Denmark"
BLL,Billund Airport,"Billund, Denmark",30669,"Billund, Denmark"
BLM,Monmouth Executive,"Belmar/Farmingdale, NJ",30670,"Belmar/Farmingdale, NJ"
BLM,Monmouth Executive,"Belmar/Farmingdale, NJ",30670,"Belmar/Farmingdale, NJ"
BLO,Blonduos Airport,"Blonduos, Iceland",30671,"Blonduos, Iceland"
BLO,Blonduos Airport,"Blonduos, Iceland",30671,"Blonduos, Iceland"
BLO,Blonduos/Hjaltabakki,"Blonduos, Iceland",30671,"Blonduos, Iceland"
BLP,Bellavista 1,"Bellavista, Peru",30672,"Bellavista, Peru"
BLP,Bellavista 1,"Bellavista, Peru",30672,"Bellavista, Peru"
BLP,Bellavista 1,"Bellavista, Peru",30672,"Bellavista, Peru"
BLP,Bellavista 1,"Bellavista, Peru",30672,"Bellavista, Peru"
BLQ,Bologna Airport,"Bologna, Italy",30673,"Bologna, Italy"
BLQ,Bologna/Borgo Panigale,"Bologna, Italy",30673,"Bologna, Italy"
BLR,Bangalore Airport,"Bangalore, India",30674,"Bangalore, India"
BLR,Bangalore International,"Bangalore, India",30674,"Bangalore, India"
BLR,Bangalore International,"Bangalore, India",30674,"Bangalore, India"
BLR,Bengaluru International,"Bangalore, India",30674,"Bangalore, India"
BLR,Kempegowda International,"Bangalore, India",30674,"Bangalore, India"
BLR,Kempegowda International,"Bangalore, India",30674,"Bangalore, India"
BLR,Kempegowda International,"Bangalore, India",30674,"Bangalore, India"
BLT,Blackwater Airport,"Blackwater, Australia",30675,"Blackwater, Australia"
BLT,Blackwater Airport,"Blackwater, Australia",30675,"Blackwater, Australia"
BLT,Blackwater Airport,"Blackwater, Australia",30675,"Blackwater, Australia"
BLV,Scott AFB,"Belleville, IL",30676,"Belleville, IL"
BLV,Scott AFB MidAmerica St Louis,"Belleville, IL",30676,"Belleville, IL"
BLV,Scott AFB/MidAmerica,"Belleville, IL",30676,"Belleville, IL"
BLZ,Chileka International,"Blantyre, Malawi",30677,"Blantyre, Malawi"
BLZ,Chileka International,"Blantyre, Malawi",30677,"Blantyre, Malawi"
BMA,Bromma,"Stockholm, Sweden",30357,"Stockholm, Sweden"
BMA,Bromma,"Stockholm, Sweden",30357,"Stockholm, Sweden"
BMA,Bromma,"Stockholm, Sweden",30357,"Stockholm, Sweden"
BMA,Bromma,"Stockholm, Sweden",30357,"Stockholm, Sweden"
BMB,Bumba Airport,"Bumba, Congo (Kinshasa)",30679,"Bumba, Congo (Kinshasa)"
BMB,Bumba Airport,"Bumba, Congo (Kinshasa)",30679,"Bumba, Congo (Kinshasa)"
BMB,Bumba Airport,"Bumba, Congo (Kinshasa)",30679,"Bumba, Congo (Kinshasa)"
BMC,Brigham City Airport,"Brigham City, UT",30680,"Brigham City, UT"
BMC,Brigham City Airport,"Brigham City, UT",30680,"Brigham City, UT"
BMC,Brigham City Airport,"Brigham City, UT",30680,"Brigham City, UT"
BMC,Brigham City Airport,"Brigham City, UT",30680,"Brigham City, UT"
BMC,Brigham City Airport,"Brigham City, UT",30680,"Brigham City, UT"
BMC,Brigham City Regional,"Brigham City, UT",30680,"Brigham City, UT"
BMD,Belo Airport,"Belo, Madagascar",30681,"Belo, Madagascar"
BMD,Belo Sur Tsiribihina,"Belo, Madagascar",30681,"Belo, Madagascar"
BMD,Belo Sur Tsiribihina,"Belo, Madagascar",30681,"Belo, Madagascar"
BME,Broome International,"Broome, Australia",30682,"Broome, Australia"
BME,Broome International,"Broome, Australia",30682,"Broome, Australia"
BME,Broome International,"Broome, Australia",30682,"Broome, Australia"
BME,Broome International,"Broome, Australia",30682,"Broome, Australia"
BME,Broome International,"Broome, Australia",30682,"Broome, Australia"
BME,Broome International,"Broome, Australia",30682,"Broome, Australia"
BMG,Monroe County,"Bloomington, IN",30683,"Bloomington, IN"
BMG,Monroe County,"Bloomington, IN",30683,"Bloomington, IN"
BMG,Monroe County,"Bloomington, IN",30683,"Bloomington, IN"
BMG,Monroe County,"Bloomington, IN",30683,"Bloomington, IN"
BMH,Bomai Airport,"Bomai, Papua New Guinea",30684,"Bomai, Papua New Guinea"
BMH,Bomai Airport,"Bomai, Papua New Guinea",30684,"Bomai, Papua New Guinea"
BMH,Bomai Airport,"Bomai, Papua New Guinea",30684,"Bomai, Papua New Guinea"
BMH,Bomai Airport,"Bomai, Papua New Guinea",30684,"Bomai, Papua New Guinea"
BMI,Central Il Regional Airport at Bloomington,"Bloomington/Normal, IL",30685,"Bloomington/Normal, IL"
BMI,Central Il Regional Airport at Bloomington,"Bloomington/Normal, IL",30685,"Bloomington/Normal, IL"
BMI,Central Illinois Regional,"Bloomington/Normal, IL",30685,"Bloomington/Normal, IL"
BMI,Central Illinois Regional,"Bloomington/Normal, IL",30685,"Bloomington/Normal, IL"
BMJ,Baramita Airport,"Baramita, Guyana",30686,"Baramita, Guyana"
BMJ,Baramita Airport,"Baramita, Guyana",30686,"Baramita, Guyana"
BMJ,Baramita Airport,"Baramita, Guyana",30686,"Baramita, Guyana"
BMJ,Baramita Airport,"Baramita, Guyana",30686,"Baramita, Guyana"
BML,Berlin Municipal,"Berlin, NH",30687,"Berlin, NH"
BML,Berlin Regional,"Berlin, NH",30687,"Berlin, NH"
BMM,Bitam Airport,"Bitam, Gabon",30688,"Bitam, Gabon"
BMM,Bitam Airport,"Bitam, Gabon",30688,"Bitam, Gabon"
BMO,Banmaw,"Bhamo, Burma",30689,"Bhamo, Burma"
BMO,Banmaw,"Bhamo, Burma",30689,"Bhamo, Burma"
BMO,Bhamo Airport,"Bhamo, Burma",30689,"Bhamo, Burma"
BMP,Brampton Island Airport,"Brampton Island, Australia",30690,"Brampton Island, Australia"
BMP,Brampton Island Airport,"Brampton Island, Australia",30690,"Brampton Island, Australia"
BMT,Beaumont Municipal,"Beaumont, TX",30728,"Beaumont/Port Arthur, TX"
BMV,Buon Ma Thuot,"Ban Me Thout, Vietnam",36669,"Ban Me Thout, Vietnam"
BMW,Bordj Mokhtar,"Bordj Badji Mokhtar, Algeria",30691,"Bordj Badji Mokhtar, Algeria"
BMW,Bordj Mokhtar,"Bordj Badji Mokhtar, Algeria",30691,"Bordj Badji Mokhtar, Algeria"
BMW,Bordj Mokhtar,"Bordj Badji Mokhtar, Algeria",30691,"Bordj Badji Mokhtar, Algeria"
BMW,Bordj Mokhtar,"Bordj Badji Mokhtar, Algeria",30691,"Bordj Badji Mokhtar, Algeria"
BMW,Bordj Mokhtar,"Bordj Badji Mokhtar, Algeria",30691,"Bordj Badji Mokhtar, Algeria"
BMW,Bordj Mokhtar,"Bordj Badji Mokhtar, Algeria",30691,"Bordj Badji Mokhtar, Algeria"
BMW,Bordj Mokhtar,"Bordj Badji Mokhtar, Algeria",30691,"Bordj Badji Mokhtar, Algeria"
BMX,Big Mountain AFS,"Big Mountain, AK",30692,"Big Mountain, AK"
BMX,Big Mountain AFS,"Big Mountain, AK",30692,"Big Mountain, AK"
BMX,Big Mountain AFS,"Big Mountain, AK",30692,"Big Mountain, AK"
BNA,Nashville International,"Nashville, TN",30693,"Nashville, TN"
BNA,Nashville International,"Nashville, TN",30693,"Nashville, TN"
BNA,Nashville International,"Nashville, TN",30693,"Nashville, TN"
BNB,Boende Airport,"Boende, Congo (Kinshasa)",30694,"Boende, Congo (Kinshasa)"
BNB,Boende Airport,"Boende, Congo (Kinshasa)",30694,"Boende, Congo (Kinshasa)"
BND,Bandar Abbas International,"Bandar Abbas, Iran",30695,"Bandar Abbas, Iran"
BND,Bandar Abbas International,"Bandar Abbas, Iran",30695,"Bandar Abbas, Iran"
BNE,Brisbane International,"Brisbane, Australia",30696,"Brisbane, Australia"
BNE,Brisbane International,"Brisbane, Australia",30696,"Brisbane, Australia"
BNE,Brisbane International,"Brisbane, Australia",30696,"Brisbane, Australia"
BNF,Warm Spring Bay Seaplane Base,"Baranof, AK",30697,"Baranof, AK"
