location,state_abbreviation,state_spelled_out,region,date,item,description,measurement,category_bin,value,date_updated,max_date,latest_value_raw,latest_value_adjusted,min_date,oldest_value_raw,oldest_value_adjusted,p_change_oldest_newest_adjusted,compare_date_2020,compare_2020_value_raw,compare_2020_value_adjusted,p_change_2020_newest_adjusted,data_complete,measurement_long
United States,US,United States,United States,2016-01-05,Ham,Excluding Canned Ham And Luncheon Slices,lb.,Meat and Poultry,2.937,2026-08-14,2026-07-01,4.489,4.49,2016-01-01,2.937,4.14,8.5,2021-01-01,3.441,4.4,2,True,pound
United States,US,United States,United States,2016-02-05,Ham,Excluding Canned Ham And Luncheon Slices,lb.,Meat and Poultry,2.928,2026-08-14,2026-07-01,4.489,4.49,2016-01-01,2.937,4.14,8.5,2021-01-01,3.441,4.4,2,True,pound
United States,US,United States,United States,2016-03-05,Ham,Excluding Canned Ham And Luncheon Slices,lb.,Meat and Poultry,2.95,2026-08-14,2026-07-01,4.489,4.49,2016-01-01,2.937,4.14,8.5,2021-01-01,3.441,4.4,2,True,pound
United States,US,United States,United States,2016-04-05,Ham,Excluding Canned Ham And Luncheon Slices,lb.,Meat and Poultry,2.882,2026-08-14,2026-07-01,4.489,4.49,2016-01-01,2.937,4.14,8.5,2021-01-01,3.441,4.4,2,True,pound
United States,US,United States,United States,2016-05-05,Ham,Excluding Canned Ham And Luncheon Slices,lb.,Meat and Poultry,2.909,2026-08-14,2026-07-01,4.489,4.49,2016-01-01,2.937,4.14,8.5,2021-01-01,3.441,4.4,2,True,pound
United States,US,United States,United States,2016-06-05,Ham,Excluding Canned Ham And Luncheon Slices,lb.,Meat and Poultry,3.076,2026-08-14,2026-07-01,4.489,4.49,2016-01-01,2.937,4.14,8.5,2021-01-01,3.441,4.4,2,True,pound
United States,US,United States,United States,2016-07-05,Ham,Excluding Canned Ham And Luncheon Slices,lb.,Meat and Poultry,3.072,2026-08-14,2026-07-01,4.489,4.49,2016-01-01,2.937,4.14,8.5,2021-01-01,3.441,4.4,2,True,pound
United States,US,United States,United States,2016-08-05,Ham,Excluding Canned Ham And Luncheon Slices,lb.,Meat and Poultry,3.098,2026-08-14,2026-07-01,4.489,4.49,2016-01-01,2.937,4.14,8.5,2021-01-01,3.441,4.4,2,True,pound
United States,US,United States,United States,2016-09-05,Ham,Excluding Canned Ham And Luncheon Slices,lb.,Meat and Poultry,3.135,2026-08-14,2026-07-01,4.489,4.49,2016-01-01,2.937,4.14,8.5,2021-01-01,3.441,4.4,2,True,pound
United States,US,United States,United States,2016-10-05,Ham,Excluding Canned Ham And Luncheon Slices,lb.,Meat and Poultry,3.105,2026-08-14,2026-07-01,4.489,4.49,2016-01-01,2.937,4.14,8.5,2021-01-01,3.441,4.4,2,True,pound
